1590772620-814,https://www.tff.org/Default.aspx?pageID=198&hafta=1#macctl00_MPane_m_198_935_ctnr_m_198_935,3,https://www.tff.org/Default.aspx?pageID=198&hafta=3#macctl00_MPane_m_198_935_ctnr_m_198_935,30.08.2019,20:30,Kayserispor,2 - 3,Galatasaray SK
1590772620-816,https://www.tff.org/Default.aspx?pageID=198&hafta=1#macctl00_MPane_m_198_935_ctnr_m_198_935,3,https://www.tff.org/Default.aspx?pageID=198&hafta=3#macctl00_MPane_m_198_935_ctnr_m_198_935,31.08.2019,21:45,Göztepe,0 - 0,Denizlispor
1590772618-809,https://www.tff.org/Default.aspx?pageID=198&hafta=1#macctl00_MPane_m_198_935_ctnr_m_198_935,4,https://www.tff.org/Default.aspx?pageID=198&hafta=4#macctl00_MPane_m_198_935_ctnr_m_198_935,15.09.2019,20:00,Denizlispor,0 - 1,Konyaspor
1590772618-812,https://www.tff.org/Default.aspx?pageID=198&hafta=1#macctl00_MPane_m_198_935_ctnr_m_198_935,4,https://www.tff.org/Default.aspx?pageID=198&hafta=4#macctl00_MPane_m_198_935_ctnr_m_198_935,,,,,
1590772618-807,https://www.tff.org/Default.aspx?pageID=198&hafta=1#macctl00_MPane_m_198_935_ctnr_m_198_935,4,https://www.tff.org/Default.aspx?pageID=198&hafta=4#macctl00_MPane_m_198_935_ctnr_m_198_935,15.09.2019,17:00,MKE Ankaragücü,0 - 4,Yeni Malatyaspor
1590772618-804,https://www.tff.org/Default.aspx?pageID=198&hafta=1#macctl00_MPane_m_198_935_ctnr_m_198_935,4,https://www.tff.org/Default.aspx?pageID=198&hafta=4#macctl00_MPane_m_198_935_ctnr_m_198_935,14.09.2019,17:00,Istanbul Basaksehir FK,1 - 1,Sivasspor
1590772618-808,https://www.tff.org/Default.aspx?pageID=198&hafta=1#macctl00_MPane_m_198_935_ctnr_m_198_935,4,https://www.tff.org/Default.aspx?pageID=198&hafta=4#macctl00_MPane_m_198_935_ctnr_m_198_935,15.09.2019,17:00,Caykur Rizespor,0 - 0,Göztepe
1590772618-803,https://www.tff.org/Default.aspx?pageID=198&hafta=1#macctl00_MPane_m_198_935_ctnr_m_198_935,4,https://www.tff.org/Default.aspx?pageID=198&hafta=4#macctl00_MPane_m_198_935_ctnr_m_198_935,13.09.2019,20:30,Galatasaray SK,1 - 0,Kasimpasa
1590772618-811,https://www.tff.org/Default.aspx?pageID=198&hafta=1#macctl00_MPane_m_198_935_ctnr_m_198_935,4,https://www.tff.org/Default.aspx?pageID=198&hafta=4#macctl00_MPane_m_198_935_ctnr_m_198_935,16.09.2019,20:00, Alanyaspor,3 - 1,Fenerbahce SK
1590772618-806,https://www.tff.org/Default.aspx?pageID=198&hafta=1#macctl00_MPane_m_198_935_ctnr_m_198_935,4,https://www.tff.org/Default.aspx?pageID=198&hafta=4#macctl00_MPane_m_198_935_ctnr_m_198_935,14.09.2019,20:00, Antalyaspor,2 - 2,Kayserispor
1590772618-810,https://www.tff.org/Default.aspx?pageID=198&hafta=1#macctl00_MPane_m_198_935_ctnr_m_198_935,4,https://www.tff.org/Default.aspx?pageID=198&hafta=4#macctl00_MPane_m_198_935_ctnr_m_198_935,15.09.2019,20:00,Trabzonspor,2 - 2,Genclerbirligi Ankara
1590772618-805,https://www.tff.org/Default.aspx?pageID=198&hafta=1#macctl00_MPane_m_198_935_ctnr_m_198_935,4,https://www.tff.org/Default.aspx?pageID=198&hafta=4#macctl00_MPane_m_198_935_ctnr_m_198_935,14.09.2019,20:00,Gaziantep FK,3 - 2,Besiktas JK
1590772616-797,https://www.tff.org/Default.aspx?pageID=198&hafta=1#macctl00_MPane_m_198_935_ctnr_m_198_935,5,https://www.tff.org/Default.aspx?pageID=198&hafta=5#macctl00_MPane_m_198_935_ctnr_m_198_935,22.09.2019,14:00,Caykur Rizespor,1 - 2,Gaziantep FK
